# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
1		4.5		6500.0		N0390		-20.6000		-20.6000		-1.0000		41.200000		0.515000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0.999997		4.5		6500.0		N0400		-20.6000		0.0000		-1.0000		20.600000		0.257500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0410		-15.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0420		-15.6000		15.6000		-1.0000		15.600000		0.195000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0430		15.6000		15.6000		-1.0000		31.200000		0.390000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0440		15.6000		-15.6000		-1.0000		31.200000		0.390000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0450		-15.6000		-15.6000		-1.0000		31.200000		0.390000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.2		6500.0		N0460		-15.6000		0.0000		-1.0000		15.600000		0.195000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0470		-10.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0480		-10.6000		10.6000		-1.0000		10.600000		0.132500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0490		10.6000		10.6000		-1.0000		21.200000		0.265000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0500		10.6000		-10.6000		-1.0000		21.200000		0.265000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0510		-10.6000		-10.6000		-1.0000		21.200000		0.265000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0520		-10.6000		0.0000		-1.0000		10.600000		0.132500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0530		-5.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0540		-5.6000		5.6000		-1.0000		5.600000		0.070000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0550		5.6000		5.6000		-1.0000		11.200000		0.140000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0560		5.6000		-5.6000		-1.0000		11.200000		0.140000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.5		6500.0		N0570		-5.6000		-5.6000		-1.0000		11.200000		0.140000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		0		6500.0		N0580		-5.6000		0.0000		-1.0000		5.600000		0.070000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		2.4		6500.0		N0590		-0.6000		0.0000		-1.0000		5.000000		0.062500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0600		-0.6000		0.6000		-1.0000		0.600000		0.007500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0610		0.6000		0.6000		-1.0000		1.200000		0.015000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0620		0.6000		-0.6000		-1.0000		1.200000		0.015000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0630		-0.6000		-0.6000		-1.0000		1.200000		0.015000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0640		-0.6000		0.0000		-1.0000		0.600000		0.007500		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		5000.0		N0650		-4.6000		0.0000		-1.0000		4.000000		0.050000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		5000.0		N0660		-4.6000		0.0000		2.0000		3.000000		0.050000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		5000.0		N0670		-4.6000		0.0000		4.0000		2.000000		0.033333		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		5000.0		N0680		-47.2780		0.0000		4.0000		42.678000		0.533475		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
0		0		5000.0		N0690		-47.2780		0.0000		1.0000		3.000000		0.050000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.5		6500.0		N0700		-47.2780		0.0000		-2.0000		3.000000		0.050000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.2		6500.0		N0710		-40.6000		0.0000		-2.0000		6.678000		0.083475		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		7.5		6500.0		N0720		-40.6000		40.0000		-2.0000		40.000000		0.500000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		3.59734		6500.0		N0730.1		-40.5980		40.0520		-2.0000		0.052038		0.000480		3.597340		389.711833		6000.0		1.000000		389.711833		244863.166523
0.999996		3.37342		6500.0		N0730.2		-40.5910		40.1040		-2.0000		0.052469		0.000484		3.373407		365.452372		6000.0		1.000000		365.452372		229620.497120
1		2.95556		6500.0		N0730.3		-40.5800		40.1550		-2.0000		0.052173		0.000482		2.955560		320.185667		6000.0		1.000000		320.185667		201178.587637
1		4.76593		6500.0		N0730.4		-40.5640		40.2050		-2.0000		0.052498		0.000485		4.765930		516.309083		6000.0		1.000000		516.309083		324406.564636
1		0		6500.0		N0730.5		-40.5440		40.2540		-2.0000		0.052924		0.000489		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999996		0		6500.0		N0730.6		-40.5200		40.3000		-2.0000		0.051884		0.000479		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
1		3.16525		6500.0		N0730.7		-40.4910		40.3440		-2.0000		0.052697		0.000486		3.165250		342.902083		6000.0		1.000000		342.902083		215451.733180
1		2.94819		6500.0		N0730.8		-40.4600		40.3860		-2.0000		0.052202		0.000482		2.948190		319.387250		6000.0		1.000000		319.387250		200676.927650
1		3.26679		6500.0		N0730.9		-40.4240		40.4240		-2.0000		0.052345		0.000483		3.266790		353.902250		6000.0		1.000000		353.902250		222363.341738
0.999996		1.93715		6500.0		N0730.10		-40.3860		40.4600		-2.0000		0.052345		0.000483		1.937142		209.857077		6000.0		1.000000		209.857077		131857.090429
1		2.74705		6500.0		N0730.11		-40.3440		40.4910		-2.0000		0.052202		0.000482		2.747050		297.597083		6000.0		1.000000		297.597083		186985.762146
0.999996		4.16151		6500.0		N0730.12		-40.3000		40.5200		-2.0000		0.052697		0.000486		4.161493		450.828447		6000.0		1.000000		450.828447		283263.867223
0.999996		1.86183		6500.0		N0730.13		-40.2540		40.5440		-2.0000		0.051884		0.000479		1.861823		201.697443		6000.0		1.000000		201.697443		126730.241165
0.999996		0.504493		6500.0		N0730.14		-40.2050		40.5640		-2.0000		0.052924		0.000489		0.504491		54.653190		6000.0		1.000000		54.653190		34339.611864
0.999996		0.662887		6500.0		N0730.15		-40.1550		40.5800		-2.0000		0.052498		0.000485		0.662884		71.812471		6000.0		1.000000		71.812471		45121.106318
0.999996		0.713015		6500.0		N0730.16		-40.1040		40.5910		-2.0000		0.052173		0.000482		0.713012		77.242983		6000.0		1.000000		77.242983		48533.197394
0.999996		0.891955		6500.0		N0730.17		-40.0520		40.5980		-2.0000		0.052469		0.000484		0.891951		96.628072		6000.0		1.000000		96.628072		60713.208112
0.999996		3.97783		6500.0		N0730.18		-40.0000		40.6000		-2.0000		0.052038		0.000480		3.977814		430.929860		6000.0		1.000000		430.929860		270761.216231
1		7.5		6500.0		N0740		40.0000		40.6000		-2.0000		80.000000		1.000000		0.000000		0.000000		6000.0		0.000000		0.000000		0.000000
1		4.23149		6500.0		N0750.1		40.0520		40.5980		-2.0000		0.052038		0.000480		4.231490		458.411417		6000.0		1.000000		458.411417		288028.387784
1		4.73994		6500.0		N0750.2		40.1040		40.5910		-2.0000		0.052469		0.000484		4.739940		513.493500		6000.0		1.000000		513.493500		322637.481453
