# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
8		5.55375		6500.0		N0		-56.7360		5.2890		-8.0000		0.073410		0.000678		44.430000		4813.250000		10000.0		0.600000		2887.950000		3024254.167978
8		4.1773		6500.0		N0		-56.7860		5.2340		-8.0000		0.074330		0.000686		33.418400		3620.326667		10000.0		0.600000		2172.196000		2274718.331919
8		6.13478		6500.0		N0		-56.8410		5.1840		-8.0000		0.074330		0.000686		49.078240		5316.809333		10000.0		0.600000		3190.085600		3340649.828428
8		0.604824		6500.0		N0		-56.8990		5.1390		-8.0000		0.073410		0.000678		4.838592		524.180800		10000.0		0.600000		314.508480		329352.510087
8		2.9467		6500.0		N0		-56.9620		5.0990		-8.0000		0.074626		0.000689		23.573600		2553.806667		10000.0		0.600000		1532.284000		1604604.052538
8		4.58226		6500.0		N0		-57.0280		5.0650		-8.0000		0.074243		0.000685		36.658080		3971.292000		10000.0		0.600000		2382.775200		2495236.354492
8		4.5654		6500.0		N0		-57.0960		5.0360		-8.0000		0.073926		0.000682		36.523200		3956.680000		10000.0		0.600000		2374.008000		2486055.364121
8		2.49023		6500.0		N0		-57.1670		5.0140		-8.0000		0.074330		0.000686		19.921840		2158.199333		10000.0		0.600000		1294.919600		1356036.634116
8		3.2865		6500.0		N0		-57.2390		4.9980		-8.0000		0.073756		0.000681		26.292000		2848.300000		10000.0		0.600000		1708.980000		1789639.671044
8		3.9854		6500.0		N0		-57.3130		4.9880		-8.0000		0.074673		0.000689		31.883200		3454.013333		10000.0		0.600000		2072.408000		2170220.582680
8		3.71857		6500.0		N0		-57.3870		4.9850		-8.0000		0.074061		0.000684		29.748560		3222.760667		10000.0		0.600000		1933.656400		2024920.246936
8		3.52413		6500.0		N0		-57.4610		4.9880		-8.0000		0.074061		0.000684		28.193040		3054.246000		10000.0		0.600000		1832.547600		1919039.359171
8		2.37838		6500.0		N0		-57.5350		4.9980		-8.0000		0.074673		0.000689		19.027040		2061.262667		10000.0		0.600000		1236.757600		1295129.530144
8		3.48173		6500.0		N0		-57.6070		5.0140		-8.0000		0.073756		0.000681		27.853840		3017.499333		10000.0		0.600000		1810.499600		1895950.747562
8		2.40144		6500.0		N0		-57.6780		5.0360		-8.0000		0.074330		0.000686		19.211520		2081.248000		10000.0		0.600000		1248.748800		1307686.685420
8		2.71895		6500.0		N0		-57.7460		5.0650		-8.0000		0.073926		0.000682		21.751600		2356.423333		10000.0		0.600000		1413.854000		1480584.446550
8		2.52954		6500.0		N0		-57.8120		5.0990		-8.0000		0.074243		0.000685		20.236320		2192.268000		10000.0		0.600000		1315.360800		1377442.608700
8		2.9467		6500.0		N0		-57.8750		5.1390		-8.0000		0.074626		0.000689		23.573600		2553.806667		10000.0		0.600000		1532.284000		1604604.052538
8		2.29261		6500.0		N0		-57.9330		5.1840		-8.0000		0.073410		0.000678		18.340880		1986.928667		10000.0		0.600000		1192.157200		1248424.100481
8		2.40144		6500.0		N0		-57.9880		5.2340		-8.0000		0.074330		0.000686		19.211520		2081.248000		10000.0		0.600000		1248.748800		1307686.685420
8		1.59423		6500.0		N0		-58.0380		5.2890		-8.0000		0.074330		0.000686		12.753840		1381.666000		10000.0		0.600000		828.999600		868126.351063
8		1.63057		6500.0		N0		-58.0830		5.3470		-8.0000		0.073410		0.000678		13.044560		1413.160667		10000.0		0.600000		847.896400		887915.033748
0		0		6500.0		N0		-58.1230		5.4100		-8.0000		0.074626		0.000689		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		1.77795		6500.0		N0		-58.1570		5.4760		-8.0000		0.074243		0.000685		14.223600		1540.890000		10000.0		0.600000		924.534000		968169.740798
8		0.393639		6500.0		N0		-58.1860		5.5440		-8.0000		0.073926		0.000682		3.149112		341.153800		10000.0		0.600000		204.692280		214353.254365
8		1.19467		6500.0		N0		-58.2080		5.6150		-8.0000		0.074330		0.000686		9.557360		1035.380667		10000.0		0.600000		621.228400		650548.859214
8		0.130158		6500.0		N0		-58.2240		5.6870		-8.0000		0.073756		0.000681		1.041264		112.803600		10000.0		0.600000		67.682160		70876.592212
8		1.17312		6500.0		N0		-58.2340		5.7610		-8.0000		0.074673		0.000689		9.384960		1016.704000		10000.0		0.600000		610.022400		638813.963455
8		0		6500.0		N0		-58.2370		5.8350		-8.0000		0.074061		0.000684		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
8		0.9		6500.0		N0		-58.2370		11.3350		-8.0000		5.500000		0.068750		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0		-58.2370		11.5350		-8.0000		0.200000		0.002500		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0		-58.2200		11.1920		-8.0000		0.343421		0.003170		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-58.1700		10.8520		-8.0000		0.343657		0.003172		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-58.0860		10.5190		-8.0000		0.343431		0.003170		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-57.9710		10.1960		-8.0000		0.342861		0.003165		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-57.8240		9.8850		-8.0000		0.343991		0.003175		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-57.6470		9.5910		-8.0000		0.343169		0.003168		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-57.4430		9.3150		-8.0000		0.343208		0.003168		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-57.2120		9.0600		-8.0000		0.344073		0.003176		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0		0		6500.0		N0		-57.2120		9.0600		9.0000		17.000000		0.283333		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0		-57.2120		13.8100		9.0000		4.750000		0.059375		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0		0		6500.0		N0		-57.2120		13.8100		-8.5000		17.500000		0.291667		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0.5		7.87857		6500.0		N0		-57.4430		13.5550		-8.5000		0.344073		0.003176		3.939285		426.755875		10000.0		0.600000		256.053525		268138.624355
0.5		7.25895		6500.0		N0		-57.6470		13.2800		-8.5000		0.342405		0.003161		3.629475		393.193125		10000.0		0.600000		235.915875		247050.526588
0.5		7.04859		6500.0		N0		-57.8240		12.9850		-8.5000		0.344026		0.003176		3.524295		381.798625		10000.0		0.600000		229.079175		239891.151090
0.5		7.39205		6500.0		N0		-57.9710		12.6740		-8.5000		0.343991		0.003175		3.696025		400.402708		10000.0		0.600000		240.241625		251580.441395
0.5		7.14253		6500.0		N0		-58.0860		12.3510		-8.5000		0.342861		0.003165		3.571265		386.887042		10000.0		0.600000		232.132225		243088.297574
0.5		7.05469		6500.0		N0		-58.1700		12.0180		-8.5000		0.343431		0.003170		3.527345		382.129042		10000.0		0.600000		229.277425		240098.758005
0.5		7.42892		6500.0		N0		-58.2200		11.6780		-8.5000		0.343657		0.003172		3.714460		402.399833		10000.0		0.600000		241.439900		252835.272041
0.5		7.53536		6500.0		N0		-58.2370		11.3350		-8.5000		0.343421		0.003170		3.767680		408.165333		10000.0		0.600000		244.899200		256457.842530
0.5		7.5		6500.0		N0		-58.2370		16.8350		-8.5000		5.500000		0.068750		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0.5		3.54844		6500.0		N0		-58.2340		16.9090		-8.5000		0.074061		0.000684		1.774220		192.207167		10000.0		0.600000		115.324300		120767.324553
0.5		4.55589		6500.0		N0		-58.2240		16.9830		-8.5000		0.074673		0.000689		2.277945		246.777375		10000.0		0.600000		148.066425		155054.797674
0.5		4.32776		6500.0		N0		-58.2080		17.0550		-8.5000		0.073756		0.000681		2.163880		234.420333		10000.0		0.600000		140.652200		147290.639410
0.5		2.77679		6500.0		N0		-58.1860		17.1260		-8.5000		0.074330		0.000686		1.388395		150.409458		10000.0		0.600000		90.245675		94505.049866
0.5		5.9898		6500.0		N0		-58.1570		17.1940		-8.5000		0.073926		0.000682		2.994900		324.447500		10000.0		0.600000		194.668500		203856.376495
0.5		4.26708		6500.0		N0		-58.1230		17.2600		-8.5000		0.074243		0.000685		2.133540		231.133500		10000.0		0.600000		138.680100		145225.461120
0.5		5.15372		6500.0		N0		-58.0830		17.3230		-8.5000		0.074626		0.000689		2.576860		279.159833		10000.0		0.600000		167.495900		175401.296315
0.5		3.68616		6500.0		N0		-58.0380		17.3810		-8.5000		0.073410		0.000678		1.843080		199.667000		10000.0		0.600000		119.800200		125454.476073
0.5		4.60108		6500.0		N0		-57.9880		17.4360		-8.5000		0.074330		0.000686		2.300540		249.225167		10000.0		0.600000		149.535100		156592.790538
0.5		2.17946		6500.0		N0		-57.9330		17.4860		-8.5000		0.074330		0.000686		1.089730		118.054083		10000.0		0.600000		70.832450		74175.568185
0.5		3.62894		6500.0		N0		-57.8750		17.5310		-8.5000		0.073410		0.000678		1.814470		196.567583		10000.0		0.600000		117.940550		123507.055147
0.5		2.71354		6500.0		N0		-57.8120		17.5710		-8.5000		0.074626		0.000689		1.356770		146.983417		10000.0		0.600000		88.190050		92352.404400
0.5		5.52781		6500.0		N0		-57.7460		17.6050		-8.5000		0.074243		0.000685		2.763905		299.423042		10000.0		0.600000		179.653825		188133.045603
0.5		4.64656		6500.0		N0		-57.6780		17.6340		-8.5000		0.073926		0.000682		2.323280		251.688667		10000.0		0.600000		151.013200		158140.653238
0.5		1.12605		6500.0		N0		-57.6070		17.6560		-8.5000		0.074330		0.000686		0.563025		60.994375		10000.0		0.600000		36.596625		38323.896082
0.5		2.27777		6500.0		N0		-57.5350		17.6720		-8.5000		0.073756		0.000681		1.138885		123.379208		10000.0		0.600000		74.027525		77521.442901
0.5		4.36305		6500.0		N0		-57.4610		17.6820		-8.5000		0.074673		0.000689		2.181525		236.331875		10000.0		0.600000		141.799125		148491.696462
0.5		3.10691		6500.0		N0		-57.3870		17.6850		-8.5000		0.074061		0.000684		1.553455		168.290958		10000.0		0.600000		100.974575		105740.327673
0.5		2.02042		6500.0		N0		-57.3090		17.6810		-8.5000		0.078102		0.000721		1.010210		109.439417		10000.0		0.600000		65.663650		68762.813483
0.5		0.55698		6500.0		N0		-57.2310		17.6710		-8.5000		0.078638		0.000726		0.278490		30.169750		10000.0		0.600000		18.101850		18956.212992
0.5		0.876373		6500.0		N0		-57.1540		17.6530		-8.5000		0.079076		0.000730		0.438186		47.470204		10000.0		0.600000		28.482122		29826.408935
0.5		3.59114		6500.0		N0		-57.0800		17.6280		-8.5000		0.078109		0.000721		1.795570		194.520083		10000.0		0.600000		116.712050		122220.572955
0.5		3.35064		6500.0		N0		-57.0080		17.5960		-8.5000		0.078791		0.000727		1.675320		181.493000		10000.0		0.600000		108.895800		114035.415096
0.5		0		6500.0		N0		-56.9400		17.5580		-8.5000		0.077897		0.000719		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		2.31479		6500.0		N0		-56.8750		17.5130		-8.5000		0.079057		0.000730		1.157395		125.384458		10000.0		0.600000		75.230675		78781.378635
0.5		2.55219		6500.0		N0		-56.8140		17.4630		-8.5000		0.078873		0.000728		1.276095		138.243625		10000.0		0.600000		82.946175		86861.031341
